mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size,nrow,ncol
0.44765024763614963,0.001890515482103508,0.04348005844181339,1.00045639238978,262144,512,512,0,perlin_LF,perlin,1,30.0,512,512
0.4476502476361496,0.0018899662889697807,0.04347374252315736,1.0003702141712074,65536,256,256,0,perlin_LF,perlin,2,60.0,256,256
0.4476502476361496,0.0018878143216500708,0.04344898527756512,0.9986043290793644,16384,128,128,0,perlin_LF,perlin,4,120.0,128,128
0.4476502476361496,0.0018794430121231117,0.04335254331781599,0.9891373366860886,4096,64,64,0,perlin_LF,perlin,8,240.0,64,64
0.4476502476361496,0.001847602094787049,0.04298374221478452,0.9517278196029674,1024,32,32,0,perlin_LF,perlin,16,480.0,32,32
0.4476502476361496,0.001736474311717952,0.04167102484602403,0.8491639467815062,256,16,16,0,perlin_LF,perlin,32,960.0,16,16
0.45176598153069936,0.0012577885970635869,0.03546531540905264,1.000340992158914,262144,512,512,1,perlin_LF,perlin,1,30.0,512,512
0.45176598153069925,0.0012573420808291056,0.03545901973869421,0.9999844351406504,65536,256,256,1,perlin_LF,perlin,2,60.0,256,256
0.4517659815306992,0.001255574563816125,0.03543408759677784,0.9972478998961944,16384,128,128,1,perlin_LF,perlin,4,120.0,128,128
0.45176598153069925,0.0012486905527572323,0.03533681582651771,0.9841106225387433,4096,64,64,1,perlin_LF,perlin,8,240.0,64,64
0.45176598153069925,0.0012223371219708438,0.03496193818956329,0.9331773889477313,1024,32,32,1,perlin_LF,perlin,16,480.0,32,32
0.45176598153069925,0.0011302816658832818,0.03361966189424399,0.7822731414789437,256,16,16,1,perlin_LF,perlin,32,960.0,16,16
0.4457328342076465,0.001049799985839843,0.032400617059553716,1.0001425926724965,262144,512,512,2,perlin_LF,perlin,1,30.0,512,512
0.4457328342076464,0.0010494390176786627,0.03239504619040792,0.999624408606522,65536,256,256,2,perlin_LF,perlin,2,60.0,256,256
0.4457328342076464,0.0010480274282855546,0.032373251740990656,0.9966583306116169,16384,128,128,2,perlin_LF,perlin,4,120.0,128,128
0.4457328342076464,0.0010425334264415284,0.0322882862109702,0.983508194334247,4096,64,64,2,perlin_LF,perlin,8,240.0,64,64
0.4457328342076464,0.001021841328638445,0.031966252965251414,0.934351163898937,1024,32,32,2,perlin_LF,perlin,16,480.0,32,32
0.4457328342076464,0.0009533838959061857,0.030876915258914478,0.7963419826620278,256,16,16,2,perlin_LF,perlin,32,960.0,16,16
0.45434492763865947,0.0014574294142797606,0.0381762938782664,1.0001031974694115,262144,512,512,3,perlin_LF,perlin,1,30.0,512,512
0.45434492763865936,0.0014569540422863926,0.03817006736025485,0.9996020714652023,65536,256,256,3,perlin_LF,perlin,2,60.0,256,256
0.4543449276386594,0.0014551195303922789,0.03814602902521151,0.9968077898975641,16384,128,128,3,perlin_LF,perlin,4,120.0,128,128
0.45434492763865936,0.0014480622939712611,0.03805341369668773,0.9844304028581186,4096,64,64,3,perlin_LF,perlin,8,240.0,64,64
0.45434492763865936,0.001420872430366039,0.03769446153436919,0.9379842005193728,1024,32,32,3,perlin_LF,perlin,16,480.0,32,32
0.45434492763865936,0.0013253998582344996,0.036406041507344625,0.8024566564360086,256,16,16,3,perlin_LF,perlin,32,960.0,16,16
0.42263888591635235,0.0010012480924782264,0.03164250452284437,1.0004914459069125,262144,512,512,4,perlin_LF,perlin,1,30.0,512,512
0.42263888591635235,0.0010009926922444836,0.031638468550871476,1.000514490919334,65536,256,256,4,perlin_LF,perlin,2,60.0,256,256
0.42263888591635235,0.0010000227163492218,0.03162313577666234,0.999173587434255,16384,128,128,4,perlin_LF,perlin,4,120.0,128,128
0.42263888591635235,0.0009962420736014887,0.03156330264090703,0.9913141704587829,4096,64,64,4,perlin_LF,perlin,8,240.0,64,64
0.42263888591635235,0.0009820001265796966,0.031336881251644945,0.9585008295494356,1024,32,32,4,perlin_LF,perlin,16,480.0,32,32
0.42263888591635235,0.0009328904929473351,0.030543256096024457,0.8539303775125512,256,16,16,4,perlin_LF,perlin,32,960.0,16,16
0.45292884767556313,0.0009599187130757788,0.03098255497979111,0.996292290206705,262144,512,512,0,perlin_HF,perlin,1,30.0,512,512
0.4529288476755632,0.0009557465330951833,0.03091515054298108,0.9875351584461175,65536,256,256,0,perlin_HF,perlin,2,60.0,256,256
0.4529288476755631,0.0009431750513467232,0.030711155161385954,0.9603192481017144,16384,128,128,0,perlin_HF,perlin,4,120.0,128,128
0.4529288476755631,0.000905668131478295,0.03009432058509205,0.8832295205033031,4096,64,64,0,perlin_HF,perlin,8,240.0,64,64
0.4529288476755632,0.000803458979657349,0.02834535199388692,0.6904348421787416,1024,32,32,0,perlin_HF,perlin,16,480.0,32,32
0.45292884767556313,0.0006067078266794385,0.024631439801185772,0.29639110617839326,256,16,16,0,perlin_HF,perlin,32,960.0,16,16
0.4441654620370169,0.0008974992610790273,0.029958292025398032,0.9959138533682445,262144,512,512,1,perlin_HF,perlin,1,30.0,512,512
0.44416546203701696,0.0008935525288997247,0.029892349002708447,0.9866649242072897,65536,256,256,1,perlin_HF,perlin,2,60.0,256,256
0.44416546203701696,0.0008815217046434047,0.029690431196656687,0.9583806006742477,16384,128,128,1,perlin_HF,perlin,4,120.0,128,128
0.44416546203701696,0.0008459622676765413,0.029085430505263993,0.8790602052351425,4096,64,64,1,perlin_HF,perlin,8,240.0,64,64
0.44416546203701696,0.0007520851143056193,0.02742417025737733,0.6795103560014273,1024,32,32,1,perlin_HF,perlin,16,480.0,32,32
0.44416546203701696,0.0005319391075014337,0.02306380513925301,0.30237131551275337,256,16,16,1,perlin_HF,perlin,32,960.0,16,16
0.4439616578353614,0.0008521842179359226,0.0291921944693427,0.9964088097158529,262144,512,512,2,perlin_HF,perlin,1,30.0,512,512
0.4439616578353614,0.0008483738125168451,0.02912685723721056,0.98760147029563,65536,256,256,2,perlin_HF,perlin,2,60.0,256,256
0.44396165783536146,0.0008368877331257994,0.02892901196248844,0.9600328970322967,16384,128,128,2,perlin_HF,perlin,4,120.0,128,128
0.44396165783536146,0.0008028639766959533,0.028334854449881215,0.881552476529044,4096,64,64,2,perlin_HF,perlin,8,240.0,64,64
0.44396165783536146,0.0007119444909274525,0.026682287962756353,0.6855424026170416,1024,32,32,2,perlin_HF,perlin,16,480.0,32,32
0.4439616578353614,0.000497488862293457,0.02230445835014733,0.30080494357629245,256,16,16,2,perlin_HF,perlin,32,960.0,16,16
0.44580272118860226,0.0009049645216419185,0.030082628236939645,0.9959390992725132,262144,512,512,3,perlin_HF,perlin,1,30.0,512,512
0.44580272118860237,0.0009008331545126518,0.03001388269638988,0.9866037888387023,65536,256,256,3,perlin_HF,perlin,2,60.0,256,256
0.4458027211886023,0.0008883752886455426,0.029805625117509994,0.9579131667594435,16384,128,128,3,perlin_HF,perlin,4,120.0,128,128
0.4458027211886023,0.0008515026328590287,0.029180518036166333,0.877965907679289,4096,64,64,3,perlin_HF,perlin,8,240.0,64,64
0.44580272118860237,0.0007552216726414019,0.027481296778743936,0.6842399988074823,1024,32,32,3,perlin_HF,perlin,16,480.0,32,32
0.44580272118860237,0.0005572911178313943,0.02360701416595064,0.30134738665277155,256,16,16,3,perlin_HF,perlin,32,960.0,16,16
0.4393764982550836,0.0010140349438080279,0.031843915334142374,0.9963159728516479,262144,512,512,4,perlin_HF,perlin,1,30.0,512,512
0.43937649825508374,0.0010096909480905173,0.031775634503350476,0.9875914265503711,65536,256,256,4,perlin_HF,perlin,2,60.0,256,256
0.43937649825508374,0.0009965292714681421,0.03156785186654521,0.9605874836330855,16384,128,128,4,perlin_HF,perlin,4,120.0,128,128
0.43937649825508374,0.0009572461168805415,0.030939394255229714,0.8843467827910887,4096,64,64,4,perlin_HF,perlin,8,240.0,64,64
0.4393764982550837,0.0008556107687359487,0.02925082509496012,0.6914737071401976,1024,32,32,4,perlin_HF,perlin,16,480.0,32,32
0.43937649825508374,0.0006296866899749896,0.025093558734762784,0.31691606767267166,256,16,16,4,perlin_HF,perlin,32,960.0,16,16
0.5204643325492844,0.000820715674660724,0.028648135622771752,0.650056128096467,262144,512,512,0,cluster_nn,cluster,1,30.0,512,512
0.5204643325492843,0.0005871714653504546,0.024231621187003866,0.6230113429756622,65536,256,256,0,cluster_nn,cluster,2,60.0,256,256
0.5204643325492844,0.0004076606810193271,0.020190608733253367,0.6117325612296328,16384,128,128,0,cluster_nn,cluster,4,120.0,128,128
