mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size_rel
0.4812814794231256,0.04637192222812865,0.2153414085310316,0.9997918595980924,262144,512,512,0,perlin_LF,perlin,1,1.0
0.48128147942312566,0.04634514277728162,0.21527922049580545,0.9987564456311044,65536,256,256,0,perlin_LF,perlin,2,2.0
0.48128147942312566,0.0462538885397393,0.2150671721573037,0.9948572054815155,16384,128,128,0,perlin_LF,perlin,4,4.0
0.4812814794231257,0.04595925778179674,0.21438110406889116,0.9817959196027349,4096,64,64,0,perlin_LF,perlin,8,8.0
0.48128147942312566,0.045009259706466506,0.21215385857077054,0.9429929953893914,1024,32,32,0,perlin_LF,perlin,16,16.0
0.48128147942312566,0.042170463658364694,0.20535448292736316,0.8471200073732069,256,16,16,0,perlin_LF,perlin,32,32.0
0.5459937813037612,0.03551992099573917,0.18846729423361278,0.9997889302246489,262144,512,512,1,perlin_LF,perlin,1,1.0
0.5459937813037613,0.035493548856069985,0.18839731647788932,0.9985046724982518,65536,256,256,1,perlin_LF,perlin,2,2.0
0.5459937813037613,0.03540212591760257,0.1881545266997384,0.9936203082134182,16384,128,128,1,perlin_LF,perlin,4,4.0
0.5459937813037613,0.03510388083767066,0.1873602968552053,0.9774594852096788,4096,64,64,1,perlin_LF,perlin,8,8.0
0.5459937813037613,0.03418528188811696,0.1848926225897533,0.9313046833644968,1024,32,32,1,perlin_LF,perlin,16,16.0
0.5459937813037612,0.03174874483921866,0.17818177471116023,0.8303324087799665,256,16,16,1,perlin_LF,perlin,32,32.0
0.5123512748448796,0.03468356788788758,0.1862352487792995,0.9994314852565517,262144,512,512,2,perlin_LF,perlin,1,1.0
0.5123512748448796,0.034655543089768925,0.18615999325786656,0.9977163164367723,65536,256,256,2,perlin_LF,perlin,2,2.0
0.5123512748448797,0.03456030913940977,0.18590403206872563,0.9917784478164128,16384,128,128,2,perlin_LF,perlin,4,4.0
0.5123512748448797,0.03425587698737902,0.18508343250377388,0.9727597947050143,4096,64,64,2,perlin_LF,perlin,8,8.0
0.5123512748448797,0.033284931413506996,0.1824415835644577,0.9175506485258695,1024,32,32,2,perlin_LF,perlin,16,16.0
0.5123512748448796,0.0306804527815545,0.17515836486321315,0.7764138430693651,256,16,16,2,perlin_LF,perlin,32,32.0
0.580108462770225,0.024931610155807152,0.1578974672241678,0.9993828817247118,262144,512,512,3,perlin_LF,perlin,1,1.0
0.5801084627702251,0.02491269894601203,0.1578375714017801,0.9976679653913432,65536,256,256,3,perlin_LF,perlin,2,2.0
